height_m,wet_radius_micron,concentration_m3
1.0,9532.371519667606,1.902339780030095e-08
1.0,9806.306194523659,1.9737063849467032e-08
1.0,10088.113013885795,2.0476028599043038e-08
1.0,10378.018201977571,2.124107261214025e-08
1.0,10676.254484097224,2.203299583021804e-08
1.0,10983.061273441039,2.2852618025415465e-08
1.0,11298.684863295532,2.3700779274632405e-08
1.0,11623.378624752686,2.45783404564425e-08
1.0,11957.403210107024,2.5486183771894593e-08
1.0,12301.02676209775,2.64252132902241e-08
1.0,12654.525129163952,2.7396355520462137e-08
1.0,13018.18208688565,2.840056000988893e-08
1.0,13392.289565788473,2.943879997023699e-08
1.0,13777.147885694822,3.051207293250605e-08
1.0,14173.06599680965,3.162140143120696e-08
1.0,14580.361727734418,3.2767833718807686e-08
1.0,14999.36204060828,3.3952444511109985e-08
1.0,15430.403293581347,3.517633576424291e-08
1.0,15873.831510830732,3.6440637483918494e-08
1.0,16330.002660336122,3.7746508567556057e-08
1.0,16799.282939637873,3.909513767984862e-08
1.0,17282.04906980702,4.048774416230991e-08
1.0,17778.688597863213,4.192557897731713e-08
1.0,18289.60020788326,4.340992568713929e-08
1.0,18815.194041050232,4.494210146842366e-08
1.0,19355.89202489974,4.6523458162599786e-08
1.0,19912.12821202799,4.815538336265404e-08
1.0,20484.34912853337,4.983930153672165e-08
1.0,21073.01413247127,5.157667518895093e-08
1.0,21678.595782609984,5.336900605809659e-08
1.0,22301.580217783587,5.5217836354315595e-08
1.0,22942.46754714649,5.71247500346581e-08
1.0,23601.772251642768,5.9091374117762166e-08
1.0,24280.02359701269,6.111938003829516e-08
1.0,24977.76605866791,6.321048504171277e-08
1.0,25695.559758776486,6.536645361993826e-08
1.0,26433.980915908454,6.758909898861212e-08
1.0,27193.62230760308,6.988028460659224e-08
1.0,27975.09374622902,7.224192573844124e-08
1.0,28779.022568519413,7.467599106067664e-08
1.0,29606.054139174914,7.718450431261225e-08
1.0,30456.852368938886,7.976954599267401e-08
1.0,31332.100247560702,8.243325510112219e-08
1.0,32232.500392075017,8.517783093016983e-08
1.0,33158.77561083701,8.800553490254609e-08
1.0,34111.66948376658,9.091869245960424e-08
1.0,35091.946959267094,9.391969500014183e-08
1.0,36100.39496829811,9.70110018711507e-08
1.0,37137.82305609474,1.0019514241177452e-07
